yearmonth	eeacellcode	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	familykey	family	specieskey	species	occurrences	year	month
2010-12-01	100mE38141N31401	51.14592	2.74344	10.0	7717.0	Solanaceae	2928751	Datura stramonium	1	2010	12
2010-12-01	100mE38371N31280	51.0574	3.08637	10.0	6701.0	Apocynaceae	3169708	Vinca major	1	2010	12
2010-12-01	100mE38371N31280	51.0578	3.08745	10.0	2430.0	Onagraceae	3188894	Oenothera glazioviana	1	2010	12
2010-12-01	100mE38371N31280	51.0574	3.08637	10.0	2518.0	Caryophyllaceae	5384741	Silene coronaria	1	2010	12
2010-12-01	100mE38371N31280	51.0574	3.08637	10.0	6697.0	Oxalidaceae	8427624	Oxalis corniculata	1	2010	12
2010-12-01	100mE38406N31292	51.07128	3.13573	10.0	2390.0	Scrophulariaceae	3173338	Buddleja davidii	1	2010	12
2010-12-01	100mE38407N31292	51.07142	3.13715	10.0	3065.0	Asteraceae	3146791	Erigeron canadensis	1	2010	12
2010-12-01	100mE38409N31290	51.06968	3.13986	10.0	3230064.0	Leucobryaceae	5281901	Campylopus introflexus	1	2010	12
2010-12-01	100mE38409N31293	51.07247	3.13895	10.0	3230064.0	Leucobryaceae	5281901	Campylopus introflexus	1	2010	12
2010-12-01	100mE38410N31293	51.07242	3.14111	10.0	3230064.0	Leucobryaceae	5281901	Campylopus introflexus	1	2010	12
2010-12-01	100mE38488N30664	50.51667	3.33233	15.0	4689.0	Fagaceae	2880539	Quercus rubra	1	2010	12
2010-12-01	100mE38488N30664	50.51667	3.33233	15.0	4688.0	Betulaceae	9148577	Alnus incana	1	2010	12
2010-12-01	100mE38509N31438	51.21097	3.26281	10.0	2430.0	Onagraceae	3188894	Oenothera glazioviana	1	2010	12
2010-12-01	100mE38510N31438	51.21033	3.26345	10.0	5015.0	Rosaceae	2996929	Rubus ulmifolius	1	2010	12
2010-12-01	100mE38571N30708	50.56257	3.44425	15.0	6657.0	Sapindaceae	3189815	Aesculus hippocastanum	1	2010	12
2010-12-01	100mE38578N30793	50.63898	3.44276	15.0	2499.0	Juglandaceae	3054357	Juglans nigra	1	2010	12
2010-12-01	100mE38578N30793	50.63898	3.44276	15.0	4689.0	Fagaceae	5333294	Castanea sativa	1	2010	12
2010-12-01	100mE38586N31597	51.35929	3.35176	10.0	3925.0	Pinaceae	5285565	Pinus pinaster	1	2010	12
2010-12-01	100mE38661N31166	50.97938	3.51426	10.0	3112.0	Brassicaceae	5373368	Rapistrum rugosum	1	2010	12
2010-12-01	100mE38733N30851	50.70339	3.65385	15.0	4689.0	Fagaceae	2880539	Quercus rubra	1	2010	12
2010-12-01	100mE38733N30851	50.70339	3.65385	15.0	4689.0	Fagaceae	5333294	Castanea sativa	1	2010	12
2010-12-01	100mE38741N30830	50.6855	3.66827	15.0	4689.0	Fagaceae	5333294	Castanea sativa	1	2010	12
2010-12-01	100mE38741N30831	50.6855	3.66827	15.0	4689.0	Fagaceae	5333294	Castanea sativa	1	2010	12
2010-12-01	100mE38766N31213	51.02943	3.65749	10.0	5015.0	Rosaceae	3021496	Prunus laurocerasus	1	2010	12
2010-12-01	100mE38803N30590	50.47486	3.78409	15.0	5386.0	Fabaceae	5352251	Robinia pseudoacacia	2	2010	12
2010-12-01	100mE38819N31247	51.06424	3.72846	10.0	7717.0	Solanaceae	2928751	Datura stramonium	1	2010	12
2010-12-01	100mE38820N30748	50.6179	3.78906	49.0	3065.0	Asteraceae	8298495	Galinsoga quadriradiata	1	2010	12
2010-12-01	100mE38825N30493	50.38966	3.82733	15.0	4689.0	Fagaceae	2880539	Quercus rubra	1	2010	12
2010-12-01	100mE38826N30493	50.38966	3.82733	15.0	4689.0	Fagaceae	2880539	Quercus rubra	1	2010	12
2010-12-01	100mE38835N30487	50.38523	3.84144	15.0	4689.0	Fagaceae	5333294	Castanea sativa	2	2010	12
2010-12-01	100mE38906N30648	50.53521	3.92216	49.0	3065.0	Asteraceae	8298495	Galinsoga quadriradiata	1	2010	12
2010-12-01	100mE38906N30649	50.53521	3.92216	49.0	3112.0	Brassicaceae	3048203	Erysimum cheiri	1	2010	12
2010-12-01	100mE38921N30565	50.46159	3.95342	49.0	3112.0	Brassicaceae	3048203	Erysimum cheiri	1	2010	12
2010-12-01	100mE39050N30802	50.6828	4.10697	15.0	4688.0	Betulaceae	9148577	Alnus incana	1	2010	12
2010-12-01	100mE39082N30699	50.59302	4.16396	15.0	4689.0	Fagaceae	5333294	Castanea sativa	1	2010	12
2010-12-01	100mE39093N30718	50.61102	4.17801	15.0	4689.0	Fagaceae	2880539	Quercus rubra	1	2010	12
2010-12-01	100mE39115N30975	50.84246	4.18003	10.0	6710.0	Caprifoliaceae	8012439	Symphoricarpos albus	1	2010	12
2010-12-01	100mE39199N31212	51.06092	4.27254	10.0	7717.0	Solanaceae	2928751	Datura stramonium	1	2010	12
2010-12-01	100mE39219N30794	50.68759	4.34752	15.0	5386.0	Fabaceae	5352251	Robinia pseudoacacia	1	2010	12
2010-12-01	100mE39287N30758	50.66059	4.44654	15.0	4689.0	Fagaceae	2880539	Quercus rubra	1	2010	12
2010-12-01	100mE39353N31156	51.02128	4.49825	10.0	6720.0	Apiaceae	3034825	Heracleum mantegazzianum	1	2010	12
2010-12-01	100mE39384N30846	50.74584	4.5742	15.0	5386.0	Fabaceae	5352251	Robinia pseudoacacia	2	2010	12
2010-12-01	100mE39412N30824	50.72778	4.61661	15.0	4689.0	Fagaceae	2880539	Quercus rubra	1	2010	12
2010-12-01	100mE39412N30824	50.72778	4.61661	15.0	3925.0	Pinaceae	5284884	Picea abies	2	2010	12
